  21.2430      0.217299E-01 -0.122092    
  21.0929       1.10059     -0.278202E-01
  20.9675       2.24583     -0.160956E-02
  21.1858       3.28265      0.192576    
  21.3693       4.17741      0.656165    
  21.7322       5.12211       1.17481    
  21.8874       6.09647       1.16286    
  21.8742       7.04487       1.68158    
  21.3592       7.82219       1.74486    
  20.2826       8.11745       1.44596    
  20.2393       8.80785      0.634189    
  19.9629       9.84271      0.190908    
  19.9725       10.8781      0.521138    
  19.7948       11.6774       1.28002    
  18.9985       11.6565       1.91207    
  17.8943       11.4020       2.08235    
  16.8352       11.5121       2.53973    
  15.8025       11.8708       2.29936    
  15.1010       12.5587       1.96707    
  14.5667       13.2532       1.58384    
  13.9531       14.1985       1.24300    
  13.1743       14.9562      0.900731    
  12.8343       16.0215      0.851387    
  12.1609       16.7849       1.07861    
  11.9629       17.7391       1.14976    
  11.0399       18.2855       1.12268    
  10.2061       18.9447       1.19980    
  9.30704       19.3341       1.56179    
  8.40681       19.9814       1.71181    
  7.37568       20.0726       1.98352    
  6.27739       20.4353       2.12598    
  5.23793       20.3765       1.88173    
  4.09536       20.0831       1.77838    
  3.05022       20.4990       1.21749    
  2.18655       20.4095       1.13390    
  1.09310       20.6043       1.14761    
 0.116748       20.7619       1.16409    
-0.720402       20.8205       1.85947    
 -1.85229       20.9116       2.09340    
 -2.92842       20.6240       1.98380    
 -3.81131       20.8498       1.95475    
 -4.73519       20.7849       1.79571    
 -5.91779       20.8360       1.39194    
 -7.03828       20.9605       1.23508    
 -7.87458       20.4019       1.19224    
 -8.17799       19.6111       1.42474    
 -8.71970       18.8032       1.03410    
 -9.76347       18.7638      0.847147    
 -10.4044       19.0307       1.62953    
 -10.8212       18.2720       2.14399    
 -11.0873       17.3066       2.19098    
 -11.4201       16.3649       2.17888    
 -12.1246       15.7205       1.51520    
 -12.9564       15.3013      0.771105    
 -13.8409       14.5606      0.539804    
 -14.7171       13.7218      0.558417    
 -15.1330       12.9350      0.662531    
 -15.6947       12.3404      0.807931E-01
 -16.3159       11.8810     -0.441134    
 -17.1440       11.4273     -0.475349    
 -17.7669       10.7048     -0.372349    
 -18.5640       9.94030     -0.386747    
 -18.7612       9.47784      0.348889    
 -17.9111       9.16706      0.824050    
 -17.8058       8.22325      0.514221    
 -18.0180       7.19724      0.446313    
 -18.6366       6.26951      0.313895    
 -19.2633       5.53535      0.455751    
 -20.0159       4.72074      0.614244    
 -20.3129       3.79718      0.935319    
 -20.1123       2.86373      0.998243    
 -19.6189       1.85261       1.11994    
 -19.1979       1.20435      0.559275    
 -19.5558      0.225418      0.604557    
 -19.4339     -0.787053       1.10329    
 -19.0789      -1.95535       1.18791    
 -18.9310      -3.06722       1.56405    
 -18.6464      -4.16198       1.71124    
 -18.4078      -5.11093       1.33267    
 -17.9459      -6.23465       1.21032    
 -17.6514      -7.28342       1.68159    
 -17.1039      -8.17072       1.99142    
 -16.3575      -8.82832       2.13730    
 -15.4197      -9.55207       1.71563    
 -14.5917      -10.4520       1.33474    
 -13.6377      -11.0863       1.13904    
 -12.9865      -12.0279      0.718775    
 -12.5252      -12.9835      0.264282    
 -11.9163      -13.9000      0.393603    
 -10.8620      -14.4142      0.596264    
 -10.3126      -15.1118     -0.177183    
 -10.3913      -16.0483     -0.744960    
 -10.4143      -17.0031     -0.615663    
 -9.99581      -17.6931      0.715078E-01
 -8.92420      -17.8250      0.588004    
 -7.89311      -18.0441      0.887746    
 -6.90044      -17.6335      0.655466    
 -6.48140      -18.2953      0.151714E-02
 -5.41813      -18.6650     -0.225469    
 -4.38692      -19.0319     -0.151836    
 -3.24516      -19.3818      0.257987    
 -2.00476      -19.1687      0.546822    
 -1.47226      -19.4298     -0.311821    
-0.649784      -19.9963     -0.883303    
 0.307944      -20.0701     -0.935156    
  1.10829      -20.3357      -1.33787    
  1.98888      -21.0561      -1.72614    
  2.74230      -21.5798      -2.07759    
  3.92000      -21.6328      -2.02166    
  4.85767      -21.4963      -1.54209    
  5.63793      -21.9681      -1.38373    
  6.40638      -21.6738     -0.681061    
  6.76466      -20.8474     -0.973628E-01
  7.31476      -20.1242      0.146884    
  7.82494      -19.6615     -0.457761    
  8.80105      -19.3840      -1.06400    
  9.72682      -19.2122      -1.46477    
  10.7201      -19.2923      -1.45940    
  11.6999      -19.3273      -1.03111    
  11.5215      -18.6669     -0.268328    
  11.9012      -17.7386     -0.232921    
  12.2315      -16.7462     -0.269314    
  12.9736      -16.0109     -0.517971    
  13.9467      -15.4130     -0.290665    
  14.9175      -15.2029      0.572684E-01
  15.5187      -14.5526      0.428534    
  16.4054      -14.0599      0.307369    
  17.0326      -13.2823     -0.399547    
  17.9098      -13.2030     -0.791317    
  18.8570      -12.7555     -0.730829    
  19.3818      -11.9453     -0.377917    
  19.9370      -11.2672     -0.433410    
  20.3663      -10.3702     -0.658895    
  20.5300      -9.46794     -0.424419    
  20.3731      -8.47395     -0.269553    
  21.0397      -7.74735     -0.730175    
  21.6666      -6.88505     -0.579526    
  22.0930      -5.86033     -0.674547    
  22.0797      -4.73248     -0.299222    
  21.6104      -3.92372     -0.139304E-01
  21.3375      -3.09849     -0.418538    
  21.4842      -2.19163     -0.457069    
  21.5139      -1.03600     -0.126791    
